Index,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label,cluster
1551,org.gjt.sp.jedit.options.GutterOptionPane,jedit.options.GutterOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1552,org.gjt.sp.jedit.options.BrowserOptionPane,jedit.options.BrowserOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1553,org.gjt.sp.jedit.bsh.commands.dir,jedit.bsh.commands.dir,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1554,org.gjt.sp.jedit.gui.EditAbbrevDialog,jedit.gui.EditAbbrevDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1555,org.gjt.sp.jedit.bsh.org.objectweb.asm.Label,jedit.bsh.org.objectweb.asm.Label,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1556,org.gjt.sp.jedit.browser.FileCellRenderer,jedit.browser.FileCellRenderer,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,Service Provider,7
1557,org.gjt.sp.jedit.textarea.RangeMap,jedit.textarea.RangeMap,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1558,org.gjt.sp.jedit.gui.CompleteWord,jedit.gui.CompleteWord,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1559,org.gjt.sp.jedit.gui.StyleEditor,jedit.gui.StyleEditor,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1560,org.gjt.sp.jedit.gui.JEditHistoryModelSaver,jedit.gui.JEditHistoryModelSaver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1561,org.gjt.sp.jedit.options.AbbrevsOptionPane,jedit.options.AbbrevsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1562,org.gjt.sp.jedit.bufferset.BufferSet,jedit.bufferset.BufferSet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1563,org.gjt.sp.jedit.pluginmgr.PluginList,jedit.pluginmgr.PluginList,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1564,org.gjt.sp.jedit.textarea.DisplayManager,jedit.textarea.DisplayManager,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1565,org.gjt.sp.jedit.gui.KeyEventWorkaround,jedit.gui.KeyEventWorkaround,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1566,org.gjt.sp.jedit.search.SearchAndReplace,jedit.search.SearchAndReplace,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Information Holder,7
1567,org.gjt.sp.jedit.search.PatternSearchMatcher,jedit.search.PatternSearchMatcher,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1568,org.gjt.sp.jedit.gui.ColorChooserDialog,jedit.gui.ColorChooserDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1569,org.gjt.sp.jedit.print.BufferPrinter1_7,jedit.print.BufferPrinter1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1570,org.gjt.sp.jedit.print.BufferPrinter1_7,jedit.print.BufferPrinter1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1571,org.gjt.sp.jedit.print.BufferPrinter1_7,jedit.print.BufferPrinter1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1572,org.gjt.sp.jedit.EditServer,jedit.EditServer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1573,org.gjt.sp.jedit.options.SaveBackupOptionPane,jedit.options.SaveBackupOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1574,org.gjt.sp.jedit.textarea.MouseHandler,jedit.textarea.MouseHandler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1575,org.gjt.sp.jedit.JEditRegisterSaver,jedit.JEditRegisterSaver,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1576,org.gjt.sp.jedit.search.SearchDialog,jedit.search.SearchDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Interfacer,7
1577,org.gjt.sp.jedit.textarea.FirstLine,jedit.textarea.FirstLine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1578,org.gjt.sp.jedit.bsh.Types,jedit.bsh.Types,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Service Provider,7
1579,org.gjt.sp.jedit.gui.GrabKeyDialog,jedit.gui.GrabKeyDialog,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1580,org.gjt.sp.jedit.options.BrowserColorsOptionPane,jedit.options.BrowserColorsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1581,org.gjt.sp.jedit.gui.DockableWindowManagerImpl,jedit.gui.DockableWindowManagerImpl,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Interfacer,7
1582,org.gjt.sp.jedit.pluginmgr.ManagePanel,jedit.pluginmgr.ManagePanel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer,7
1583,org.gjt.sp.jedit.bsh.BSHTryStatement,jedit.bsh.BSHTryStatement,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Service Provider,1
1584,org.gjt.sp.jedit.syntax.DisplayTokenHandler,jedit.syntax.DisplayTokenHandler,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1585,org.gjt.sp.jedit.gui.AbstractContextOptionPane,jedit.gui.AbstractContextOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1586,org.gjt.sp.jedit.gui.FilePropertiesDialog,jedit.gui.FilePropertiesDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Interfacer,7
1587,org.gjt.sp.jedit.textarea.Gutter,jedit.textarea.Gutter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1588,org.gjt.sp.jedit.search.HyperSearchRequest,jedit.search.HyperSearchRequest,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1589,org.gjt.sp.jedit.menu.ReloadWithEncodingProvider,jedit.menu.ReloadWithEncodingProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1590,org.gjt.sp.jedit.gui.FontSelectorDialog,jedit.gui.FontSelectorDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1591,org.gjt.sp.jedit.gui.DropShadowBorder,jedit.gui.DropShadowBorder,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1592,org.gjt.sp.jedit.bsh.BSHImportDeclaration,jedit.bsh.BSHImportDeclaration,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1593,org.gjt.sp.jedit.bsh.ParserTokenManager,jedit.bsh.ParserTokenManager,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1594,org.gjt.sp.jedit.buffer.FoldHandler,jedit.buffer.FoldHandler,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,Service Provider,7
1595,org.gjt.sp.jedit.bsh.ReturnControl,jedit.bsh.ReturnControl,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1596,org.gjt.sp.jedit.print.PrintRangeType,jedit.print.PrintRangeType,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Information Holder,7
1597,org.gjt.sp.jedit.bsh.BSHBlock,jedit.bsh.BSHBlock,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1598,org.gjt.sp.jedit.bsh.BSHPrimitiveType,jedit.bsh.BSHPrimitiveType,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Information Holder,7
